Symbol,Timeframe,Preset,Regime_Name,Trade_Count,Direct_Win_Rate_Pct,Invert_Win_Rate_Pct,Direct_PF,Invert_PF,Direct_PnL_USDT,Invert_PnL_USDT,Prefer_Fading
TRUMP_USDT,3m,MICRO_BURST,ADX_CHOP (ADX < 20),3680,45.82,47.77,2.11,2.29,0.8884,0.9892,True
TRUMP_USDT,3m,MICRO_BURST,ADX_TRANSITION (20 <= ADX <= 30),4141,45.67,49.36,2.1,2.44,0.991,1.2052,True
TRUMP_USDT,3m,MICRO_BURST,ADX_BREAKOUT (ADX > 30),3158,47.09,49.4,2.22,2.44,0.8186,0.9208,True
TRUMP_USDT,3m,MICRO_BURST,WITH_TREND_EMA200,5209,44.65,50.57,2.02,2.56,1.1728,1.604,True
TRUMP_USDT,3m,MICRO_BURST,COUNTER_TREND_EMA200,5770,47.45,47.28,2.26,2.24,1.5252,1.5112,False
TRUMP_USDT,5m,FAST_SCALP,CHOP_HIGH (CHOP > 55),2174,45.17,48.34,2.06,2.34,0.5052,0.6018,True
TRUMP_USDT,5m,FAST_SCALP,CHOP_LOW (CHOP <= 55),5745,48.01,47.55,2.31,2.27,1.5632,1.5268,False
TRUMP_USDT,5m,FAST_SCALP,ADX_CHOP (ADX < 20),2733,46.4,45.44,2.16,2.08,0.682,0.6456,False
TRUMP_USDT,5m,FAST_SCALP,ADX_TRANSITION (20 <= ADX <= 30),2941,46.92,47.91,2.21,2.3,0.7556,0.7962,True
TRUMP_USDT,5m,FAST_SCALP,ADX_BREAKOUT (ADX > 30),2245,48.64,50.42,2.37,2.54,0.6308,0.6868,True
TRUMP_USDT,5m,FAST_SCALP,WITH_TREND_EMA200,3847,44.71,49.91,2.02,2.49,0.8692,1.1492,True
TRUMP_USDT,5m,FAST_SCALP,COUNTER_TREND_EMA200,4072,49.61,45.75,2.46,2.11,1.1992,0.9794,False
TRUMP_USDT,5m,STANDARD,CHOP_HIGH (CHOP > 55),1961,46.25,46.86,2.15,2.2,0.4854,0.5022,True
TRUMP_USDT,5m,STANDARD,CHOP_LOW (CHOP <= 55),5304,46.68,48.32,2.19,2.34,1.3448,1.4666,True
TRUMP_USDT,5m,STANDARD,ADX_CHOP (ADX < 20),2415,46.87,45.26,2.21,2.07,0.6188,0.5642,False
TRUMP_USDT,5m,STANDARD,ADX_TRANSITION (20 <= ADX <= 30),2768,46.03,48.23,2.13,2.33,0.6764,0.7618,True
TRUMP_USDT,5m,STANDARD,ADX_BREAKOUT (ADX > 30),2082,46.93,50.62,2.21,2.56,0.535,0.6428,True
TRUMP_USDT,5m,STANDARD,WITH_TREND_EMA200,3556,44.63,49.66,2.01,2.47,0.7994,1.05,True
TRUMP_USDT,5m,STANDARD,COUNTER_TREND_EMA200,3709,48.42,46.27,2.35,2.15,1.0308,0.9188,False
TRUMP_USDT,5m,MICRO_BURST,CHOP_HIGH (CHOP > 55),1653,43.98,50.33,1.96,2.53,0.3566,0.5036,True
