symbol,market,contract_status,earliest_date,latest_date,total_months_available,total_data_types,available_data_types,trades_range,aggTrades_range,klines_range,bookTicker_range,fundingRate_range,markPriceKlines_range,indexPriceKlines_range,premiumIndexKlines_range
ANIMEUSDT,futures/um,ACTIVE_PERPETUAL,2025-01,2026-08,20,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,N/A,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08
ANKRUSDT,futures/um,ACTIVE_PERPETUAL,2021-01,2026-08,68,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-01 to 2026-08,2021-01 to 2026-08,2021-01 to 2026-08,2023-05 to 2024-04,2021-01 to 2026-08,2021-01 to 2026-08,2021-01 to 2026-08,2021-01 to 2026-08
ANTHROPICUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,6,aggTrades; fundingRate; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08
ANTUSDT,futures/um,DELISTED_HISTORICAL,2021-12,2024-04,29,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-12 to 2024-04,2021-12 to 2024-04,2021-12 to 2024-04,2023-05 to 2024-04,2021-12 to 2024-04,2021-12 to 2024-04,2021-12 to 2024-04,2021-12 to 2024-04
APEBUSD,futures/um,DELISTED_BUSD,2022-05,2023-05,13,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-05 to 2023-05,2022-05 to 2023-05,2022-05 to 2023-05,N/A,2022-05 to 2023-05,2022-05 to 2023-05,2022-05 to 2023-05,2022-05 to 2023-05
APEUSDT,futures/um,ACTIVE_PERPETUAL,2022-03,2026-08,54,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-03 to 2026-08,2022-03 to 2026-08,2022-03 to 2026-08,2023-05 to 2024-04,2022-03 to 2026-08,2022-03 to 2026-08,2022-03 to 2026-08,2022-03 to 2026-08
API3USDT,futures/um,ACTIVE_PERPETUAL,2022-02,2026-08,55,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-02 to 2026-08,2022-02 to 2026-08,2022-02 to 2026-08,2023-05 to 2024-04,2022-02 to 2026-08,2022-02 to 2026-08,2022-02 to 2026-08,2022-02 to 2026-08
APPUSDT,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
APRUSDT,futures/um,ACTIVE_PERPETUAL,2025-10,2026-08,11,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,N/A,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08
APTBUSD,futures/um,DELISTED_BUSD,2022-10,2023-08,11,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-10 to 2023-08,2022-10 to 2023-08,2022-10 to 2023-08,2023-05 to 2023-08,2022-10 to 2023-08,2022-10 to 2023-08,2022-10 to 2023-08,2022-10 to 2023-08
APTUSDT,futures/um,ACTIVE_PERPETUAL,2022-10,2026-08,47,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-10 to 2026-08,2022-10 to 2026-08,2022-10 to 2026-08,2023-05 to 2024-04,2022-10 to 2026-08,2022-10 to 2026-08,2022-10 to 2026-08,2022-10 to 2026-08
ARBUSDC,futures/um,ACTIVE_PERPETUAL,2024-04,2026-08,29,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-04 to 2026-08,2024-04 to 2026-08,2024-04 to 2026-08,N/A,2024-04 to 2026-08,2024-04 to 2026-08,2024-04 to 2026-08,2024-04 to 2026-08
ARBUSDT,futures/um,ACTIVE_PERPETUAL,2023-03,2026-08,42,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-03 to 2026-08,2023-03 to 2026-08,2023-03 to 2026-08,2023-05 to 2024-04,2023-03 to 2026-08,2023-03 to 2026-08,2023-03 to 2026-08,2023-03 to 2026-08
ARCUSDT,futures/um,ACTIVE_PERPETUAL,2025-01,2026-08,20,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,N/A,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08
ARIAUSDT,futures/um,ACTIVE_PERPETUAL,2025-09,2026-08,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,N/A,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08
ARKMUSDT,futures/um,ACTIVE_PERPETUAL,2023-07,2026-08,38,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-07 to 2026-08,2023-07 to 2026-08,2023-07 to 2026-08,2023-07 to 2024-04,2023-07 to 2026-08,2023-07 to 2026-08,2023-07 to 2026-08,2023-07 to 2026-08
ARKUSDT,futures/um,ACTIVE_PERPETUAL,2023-09,2026-08,36,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-09 to 2026-08,2023-09 to 2026-08,2023-09 to 2026-08,2023-09 to 2024-04,2023-09 to 2026-08,2023-09 to 2026-08,2023-09 to 2026-08,2023-09 to 2026-08
ARMUSDT,futures/um,ACTIVE_PERPETUAL,2026-05,2026-08,4,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,N/A,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08
ARPAUSDT,futures/um,ACTIVE_PERPETUAL,2021-10,2026-08,59,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-10 to 2026-08,2021-10 to 2026-08,2021-10 to 2026-08,2023-05 to 2024-04,2021-10 to 2026-08,2021-10 to 2026-08,2021-10 to 2026-08,2021-10 to 2026-08
ARUSDT,futures/um,ACTIVE_PERPETUAL,2021-09,2026-08,60,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-09 to 2026-08,2021-09 to 2026-08,2021-09 to 2026-08,2023-05 to 2024-04,2021-09 to 2026-08,2021-09 to 2026-08,2021-09 to 2026-08,2021-09 to 2026-08
ARXUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
ASMLUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
ASRUSDT,futures/um,ACTIVE_PERPETUAL,2025-05,2026-08,16,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,N/A,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08
ASTERUSDT,futures/um,ACTIVE_PERPETUAL,2025-09,2026-08,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,N/A,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08
ASTRUSDT,futures/um,ACTIVE_PERPETUAL,2023-02,2026-08,43,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-02 to 2026-08,2023-02 to 2026-08,2023-02 to 2026-08,2023-05 to 2024-04,2023-02 to 2026-08,2023-02 to 2026-08,2023-02 to 2026-08,2023-02 to 2026-08
ASTSUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
ATAUSDT,futures/um,DELISTED_HISTORICAL,2021-08,2026-05,58,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-08 to 2026-05,2021-08 to 2026-05,2021-08 to 2026-05,2023-05 to 2024-04,2021-08 to 2026-05,2021-08 to 2026-05,2021-08 to 2026-05,2021-08 to 2026-05
ATHUSDT,futures/um,ACTIVE_PERPETUAL,2025-04,2026-08,17,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,N/A,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08
ATOMUSDT,futures/um,ACTIVE_PERPETUAL,2020-02,2026-08,79,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08,2023-05 to 2024-04,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08
ATUSDT,futures/um,ACTIVE_PERPETUAL,2025-10,2026-08,11,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,N/A,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08
AUCTIONBUSD,futures/um,DELISTED_BUSD,2022-08,2022-12,5,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-08 to 2022-12,2022-08 to 2022-12,2022-08 to 2022-12,N/A,2022-08 to 2022-12,2022-08 to 2022-12,2022-08 to 2022-12,2022-08 to 2022-12
AUCTIONUSDT,futures/um,ACTIVE_PERPETUAL,2023-12,2026-08,33,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2024-04,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08
AUDIOUSDT,futures/um,DELISTED_HISTORICAL,2021-08,2024-05,34,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-08 to 2024-05,2021-08 to 2024-05,2021-08 to 2024-05,2023-05 to 2024-04,2021-08 to 2024-05,2021-08 to 2024-05,2021-08 to 2024-05,2021-08 to 2024-05
AUSDT,futures/um,ACTIVE_PERPETUAL,2025-05,2026-08,16,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,N/A,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08
AVAAIUSDT,futures/um,ACTIVE_PERPETUAL,2025-01,2026-08,20,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,N/A,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08
AVAUSDT,futures/um,ACTIVE_PERPETUAL,2024-12,2026-08,21,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,N/A,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08
AVAXBUSD,futures/um,DELISTED_BUSD,2022-05,2023-04,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-05 to 2023-04,2022-05 to 2023-04,2022-05 to 2023-04,N/A,2022-05 to 2023-04,2022-05 to 2023-04,2022-05 to 2023-04,2022-05 to 2023-04
AVAXUSDC,futures/um,ACTIVE_PERPETUAL,2024-03,2026-08,30,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2024-04,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08
AVAXUSDT,futures/um,ACTIVE_PERPETUAL,2020-09,2026-08,72,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-09 to 2026-08,2020-09 to 2026-08,2020-09 to 2026-08,2023-05 to 2024-04,2020-09 to 2026-08,2020-09 to 2026-08,2020-09 to 2026-08,2020-09 to 2026-08
AVGOUSDT,futures/um,ACTIVE_PERPETUAL,2026-04,2026-08,5,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08,N/A,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08
AVNTUSDT,futures/um,ACTIVE_PERPETUAL,2025-09,2026-08,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,N/A,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08
AWEUSDT,futures/um,ACTIVE_PERPETUAL,2025-05,2026-08,16,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,N/A,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08
AXLUSDT,futures/um,ACTIVE_PERPETUAL,2024-03,2026-08,30,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2024-04,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08
AXSUSDT,futures/um,ACTIVE_PERPETUAL,2020-11,2026-08,70,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-11 to 2026-08,2020-11 to 2026-08,2020-11 to 2026-08,2023-05 to 2024-04,2020-11 to 2026-08,2020-11 to 2026-08,2020-11 to 2026-08,2020-11 to 2026-08
AXTIUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
AZTECUSDT,futures/um,ACTIVE_PERPETUAL,2026-02,2026-08,7,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-02 to 2026-08,2026-02 to 2026-08,2026-02 to 2026-08,N/A,2026-02 to 2026-08,2026-02 to 2026-08,2026-02 to 2026-08,2026-02 to 2026-08
B2USDT,futures/um,ACTIVE_PERPETUAL,2025-05,2026-08,16,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,N/A,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08
B3USDT,futures/um,DELISTED_HISTORICAL,2025-02,2026-04,15,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-02 to 2026-04,2025-02 to 2026-04,2025-02 to 2026-04,N/A,2025-02 to 2026-04,2025-02 to 2026-04,2025-02 to 2026-04,2025-02 to 2026-04
BABAUSDT,futures/um,ACTIVE_PERPETUAL,2026-04,2026-08,5,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08,N/A,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08
BABYUSDT,futures/um,ACTIVE_PERPETUAL,2025-04,2026-08,17,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,N/A,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08
BADGERUSDT,futures/um,DELISTED_HISTORICAL,2023-11,2025-04,18,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-11 to 2025-04,2023-11 to 2025-04,2023-11 to 2025-04,2023-11 to 2024-04,2023-11 to 2025-04,2023-11 to 2025-04,2023-11 to 2025-04,2023-11 to 2025-04
BAKEUSDT,futures/um,DELISTED_HISTORICAL,2021-05,2025-10,54,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-05 to 2025-10,2021-05 to 2025-10,2021-05 to 2025-10,2023-05 to 2024-04,2021-05 to 2025-10,2021-05 to 2025-10,2021-05 to 2025-10,2021-05 to 2025-10
BALUSDT,futures/um,DELISTED_HISTORICAL,2020-09,2025-04,56,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-09 to 2025-04,2020-09 to 2025-04,2020-09 to 2025-04,2023-05 to 2024-04,2020-09 to 2025-04,2020-09 to 2025-04,2020-09 to 2025-04,2020-09 to 2025-04
BANANAS31USDT,futures/um,ACTIVE_PERPETUAL,2025-03,2026-08,18,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08,N/A,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08
BANANAUSDT,futures/um,ACTIVE_PERPETUAL,2024-08,2026-08,25,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-08 to 2026-08,2024-08 to 2026-08,2024-08 to 2026-08,N/A,2024-08 to 2026-08,2024-08 to 2026-08,2024-08 to 2026-08,2024-08 to 2026-08
BANDUSDT,futures/um,ACTIVE_PERPETUAL,2020-07,2026-08,74,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-07 to 2026-08,2020-07 to 2026-08,2020-07 to 2026-08,2023-05 to 2024-04,2020-07 to 2026-08,2020-07 to 2026-08,2020-07 to 2026-08,2020-07 to 2026-08
BANKUSDT,futures/um,ACTIVE_PERPETUAL,2025-04,2026-08,17,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,N/A,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08
BANUSDT,futures/um,ACTIVE_PERPETUAL,2024-11,2026-08,22,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,N/A,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08
BARDUSDT,futures/um,ACTIVE_PERPETUAL,2025-09,2026-08,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,N/A,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08
BASEDUSDT,futures/um,ACTIVE_PERPETUAL,2026-03,2026-08,6,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-03 to 2026-08,2026-03 to 2026-08,2026-03 to 2026-08,N/A,2026-03 to 2026-08,2026-03 to 2026-08,2026-03 to 2026-08,2026-03 to 2026-08
BASUSDT,futures/um,ACTIVE_PERPETUAL,2025-08,2026-08,13,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08,N/A,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08
BATUSDT,futures/um,ACTIVE_PERPETUAL,2020-02,2026-08,79,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08,2023-05 to 2024-04,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08,2020-02 to 2026-08
BBUSDT,futures/um,ACTIVE_PERPETUAL,2024-05,2026-08,28,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-05 to 2026-08,2024-05 to 2026-08,2024-05 to 2026-08,N/A,2024-05 to 2026-08,2024-05 to 2026-08,2024-05 to 2026-08,2024-05 to 2026-08
BBXUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
BCHUSDC,futures/um,ACTIVE_PERPETUAL,2024-04,2026-08,29,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-04 to 2026-08,2024-04 to 2026-08,2024-04 to 2026-08,N/A,2024-04 to 2026-08,2024-04 to 2026-08,2024-04 to 2026-08,2024-04 to 2026-08
BCHUSDT,futures/um,ACTIVE_PERPETUAL,2019-12,2026-08,81,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2019-12 to 2026-08,2019-12 to 2026-08,2020-01 to 2026-08,2023-05 to 2024-04,2020-01 to 2026-08,2020-01 to 2026-08,2020-01 to 2026-08,2020-01 to 2026-08
BDXNUSDT,futures/um,DELISTED_HISTORICAL,2025-06,2026-03,10,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-06 to 2026-03,2025-06 to 2026-03,2025-06 to 2026-03,N/A,2025-06 to 2026-03,2025-06 to 2026-03,2025-06 to 2026-03,2025-06 to 2026-03
BDXNUSDTSETTLED,futures/um,SETTLED,2026-04,2026-04,1,1,klines,N/A,N/A,2026-04 to 2026-04,N/A,N/A,N/A,N/A,N/A
BEAMXUSDT,futures/um,ACTIVE_PERPETUAL,2023-11,2026-08,34,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2024-04,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08
BEATUSDT,futures/um,ACTIVE_PERPETUAL,2025-11,2026-08,10,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08,N/A,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08
BELUSDT,futures/um,ACTIVE_PERPETUAL,2020-11,2026-08,70,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-11 to 2026-08,2020-11 to 2026-08,2020-11 to 2026-08,2023-05 to 2024-04,2020-11 to 2026-08,2020-11 to 2026-08,2020-11 to 2026-08,2020-11 to 2026-08
BERAUSDT,futures/um,ACTIVE_PERPETUAL,2025-02,2026-08,19,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-02 to 2026-08,2025-02 to 2026-08,2025-02 to 2026-08,N/A,2025-02 to 2026-08,2025-02 to 2026-08,2025-02 to 2026-08,2025-02 to 2026-08
BEUSDT,futures/um,ACTIVE_PERPETUAL,2026-05,2026-08,4,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,N/A,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08
BICOUSDT,futures/um,ACTIVE_PERPETUAL,2023-09,2026-08,36,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-09 to 2026-08,2023-09 to 2026-08,2023-09 to 2026-08,2023-09 to 2024-04,2023-09 to 2026-08,2023-09 to 2026-08,2023-09 to 2026-08,2023-09 to 2026-08
